Record,Location,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,longitude,latitude
2015000001,MONTREAL RD btwn ELWOOD ST & BECKENHAM LANE,2015-08-02,23:42:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.6098537235,45.4460156547
2015000002,WOODROFFE AVE btwn HWY417 IC127 RAMP63 & HWY417 IC127 RAMP35,2015-04-09,15:34:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,99 - Other,-75.7682838012,45.3611898861
2015000003,OGILVIE RD @ CITY PARK DR E/CSIS HQ ACCESS,2015-04-14,16:15:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,-75.6131550475,45.4335973097
2015000004,MARCH RD btwn MORGAN'S GRANT WAY & TERRY FOX DR,2015-04-26,12:52:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,-75.927332314,45.3509857325
2015000005,EAGLESON RD @ FALLOWFIELD RD,2015-04-26,03:50:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,01 - Fatal injury,07 - SMV other,-75.8481821287,45.2514452847
2015000006,AVIATION PKWY @ OGILVIE RD,2015-05-08,15:48:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,05 - Turning movement,-75.6270318871,45.427982944
2015000007,GREENBANK RD btwn WEST HUNT CLUB RD & FALLOWFIELD RD,2015-05-09,07:11:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,04 - Sideswipe,-75.7668632774,45.3046661817
2015000008,MITCH OWENS RD @ DOZOIS RD/LIMEBANK RD,2015-05-15,10:29:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle,-75.6481205134,45.2457636041
2015000009,SMYTH RD btwn HAIG DR & SAUNDERSON DR,2015-11-16,13:08:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,-75.6328818687,45.4004498815
2015000010,MEADOWLANDS DR @ VIEWMOUNT DR,2015-11-08,14:00:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle,-75.7478730865,45.3454417073
2015000011,LEITRIM RD btwn HIGH RD & ALBION RD,2015-06-28,05:50:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,03 - Rear end,-75.6271441429,45.3185881868
2015000012,RIVERSIDE DR btwn MOONEY'S BAY PL & WALKLEY RD,2015-07-08,21:58:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.6878082408,45.361630884
2015000013,ALBION RD @ MITCH OWENS RD,2015-07-31,21:28:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,-75.5938180071,45.2696154305
2015000014,REGIONAL ROAD 174 btwn OR174 IC109 RAMP64 & OR174 IC105 RAMP16,2015-08-20,13:20:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,-75.5745614524,45.4581112295
2015000015,ALBION RD btwn RIDEAU RD & TULLAMORE ST,2015-09-06,14:07:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,01 - Approaching,-75.601709318,45.2826609954
