Record,Location,Year,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,longitude,latitude
2017000001,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,2017,8/22/2017,18:10:00,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.72643971,45.33380307
2017000002,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,2017,10/19/2017,12:20:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,-75.7264532,45.33381159
2017000003,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,2017,1/31/2017,8:09:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.72643974,45.33380306
2017000004,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,2017,3/24/2017,10:45:00,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.72644419,45.33380299
2017000005,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,2017,4/4/2017,12:30:00,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.72643566,45.33380294
2017000006,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,2017,12/15/2017,16:19:00,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,05 - Turning movement,-75.72643971,45.33380307
2017000007,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,2017,1/10/2017,20:34:00,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,-75.69063973,45.33559304
2017000008,2ND LINE RD @ CABIN RD,2017,11/20/2017,9:57:00,03 - Snow,06 - Ice,03 - Yield sign,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.59877371,45.16056479
2017000009,2ND LINE RD btwn OSGOODE MAIN ST & HUGH CRES,2017,7/4/2017,21:45:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,-75.5930263,45.15061243
2017000010,4TH LINE RD btwn FOREST RD & SPRINGHILL RD,2017,6/3/2017,16:38:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.54664786,45.17498973
