Date,Holiday,Day_of_week,Type of holiday
1/1/2014,New Year Day,Wednesday,onHoliday
1/2/2014,the second day of new year,Thursday,onHoliday
1/3/2014,the workday after holidays,Wednesday,postHoliday
2/14/2014,the workday before holidays,Friday,preHoliday
2/15/2014,weekend close to holiday,Saturday,byHoliday
2/16/2014,weekend close to holiday,Sunday,byHoliday
2/17/2014,Family Day,Monday,onHoliday
2/18/2014,the workday after holidays,Tuesday,postHoliday
4/17/2014,the workday before holidays,Thurday,preHoliday
4/18/2014,Good Friday,Friday,onHoliday
4/19/2014,weekend close to holiday,Saturday,byHoliday
4/20/2014,weekend close to holiday,Sunday,byHoliday
4/21/2014,Easter,Monday,onHoliday
4/22/2014,the workday after holidays,Tuesday,postHoliday
5/16/2014,the workday before holidays,Friday,preHoliday
5/17/2014,weekend close to holiday,Saturday,byHoliday
5/18/2014,weekend close to holiday,Sunday,byHoliday
5/19/2014,Victoria Day,Monday,onHoliday
5/20/2014,the workday after holidays,Tuesday,postHoliday
6/30/2014,the workday before holidays,Monday,preHoliday
7/1/2014,Canada Day,Tuesday,onHoliday
7/2/2014,the workday after holidays,Wednesday,postHoliday
8/1/2014,the workday before holidays,Friday,preHoliday
8/2/2014,weekend close to holiday,Saturday,byHoliday
8/3/2014,weekend close to holiday,Sunday,byHoliday
8/4/2014,Civic Day,Monday,onHoliday
8/5/2014,the workday after holidays,Tuesday,postHoliday
8/29/2014,the workday before holidays,Friday,preHoliday
8/30/2014,weekend close to holiday,Saturday,byHoliday
8/31/2014,weekend close to holiday,Sunday,byHoliday
9/1/2014,Labour Day,Monday,onHoliday
9/2/2014,the workday after holidays,Tuesday,postHoliday
10/10/2014,the workday before holidays,Friday,preHoliday
10/11/2014,weekend close to holiday,Saturday,byHoliday
10/12/2014,weekend close to holiday,Sunday,byHoliday
10/13/2014,Thanksgiving,Monday,onHoliday
10/14/2014,the workday after holidays,Tuesday,postHoliday
12/24/2014,the workday before holidays,Wednesday,preHoliday
12/25/2014,Christmas Day,Thursday,onHoliday
12/26/2014,Boxing Day,Friday,onHoliday
12/27/2014,weekend close to holiday,Saturday,byHoliday
12/28/2014,weekend close to holiday,Sunday,byHoliday
12/29/2014,the workday after holidays,Monday,postHoliday
12/31/2014,the workday before holidays,Wednesday,preHoliday
1/1/2015,New Year Day,Thursday,onHoliday
1/2/2015,the second day of new year,Friday,onHoliday
