Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
1/1/2014,-19.2,-23,-21.1,0,0,0,30
1/2/2014,-20.8,-27.1,-24,0,0,0,29
1/3/2014,-21,-28.1,-24.6,0,0.3,0,29
1/4/2014,-8.5,-27.5,-18,0,7.5,2.6,29
1/5/2014,5.8,-12,-3.1,13.2,5.5,18.6,36
1/6/2014,5.8,-8.2,-1.2,0,0,0,31
1/7/2014,-14,-17.9,-16,0,0,0,29
1/8/2014,-9.5,-16.4,-13,0,0,0,29
1/9/2014,-7.6,-14.7,-11.2,0,0.5,0.2,29
1/10/2014,-1.5,-15.1,-8.3,0,0,0,29
1/11/2014,6.5,-6.5,0,3.2,0,3.2,29
1/12/2014,3,0,1.5,0.6,0,0.6,26
1/13/2014,6.2,-2.5,1.9,0.5,0,0.5,25
1/14/2014,5.2,2.2,3.7,0,0,0,20
1/15/2014,2.2,-8.1,-3,0,0,0,20
1/16/2014,-1.2,-9,-5.1,0,0,0,19
1/17/2014,0,-5.2,-2.6,0,1,0.4,19
1/18/2014,-0.9,-9,-5,0,0.5,0.4,21
1/19/2014,-2.4,-6.5,-4.5,0,3.5,0.9,22
1/20/2014,-15.1,-17.7,-16.4,0,0,0,24
1/21/2014,-20.5,-25,-22.8,0,0,0,20
1/22/2014,-17.1,-26.7,-21.9,0,0,0,20
1/23/2014,-18.6,-25,-21.8,0,0,0,19
1/24/2014,-7.7,-26.4,-17.1,0,2,0.6,19
1/25/2014,-5,-14.5,-9.8,0,2,1.5,21
1/26/2014,-13.4,-23.5,-18.5,0,7,4.7,22
1/27/2014,-7.3,-17.4,-12.4,0,0,0,27
1/28/2014,-10.5,-23.6,-17.1,0,0,0,24
1/29/2014,-10.2,-17.1,-13.7,0,0,0,26
1/30/2014,-1.7,-16.2,-9,0,0,0,24
1/31/2014,0.3,-6.1,-2.9,0,0,0,24
2/1/2014,-3.5,-16,-9.8,0,14,13.4,25
